Volumename,nii_path
train_1000_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1000/train_1000a/train_1000_a_1.nii.gz
train_1001_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1001/train_1001a/train_1001_a_1.nii.gz
train_1001_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1001/train_1001b/train_1001_b_1.nii.gz
train_1002_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1002/train_1002a/train_1002_a_1.nii.gz
train_1002_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1002/train_1002b/train_1002_b_1.nii.gz
train_1003_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1003/train_1003a/train_1003_a_1.nii.gz
train_1004_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1004/train_1004a/train_1004_a_1.nii.gz
train_1004_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1004/train_1004b/train_1004_b_1.nii.gz
train_1005_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1005/train_1005a/train_1005_a_1.nii.gz
train_1006_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1006/train_1006a/train_1006_a_1.nii.gz
train_1007_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1007/train_1007a/train_1007_a_1.nii.gz
train_1008_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1008/train_1008a/train_1008_a_1.nii.gz
train_1009_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1009/train_1009a/train_1009_a_1.nii.gz
train_100_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_100/train_100a/train_100_a_1.nii.gz
train_1010_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1010/train_1010a/train_1010_a_1.nii.gz
train_1011_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1011/train_1011a/train_1011_a_1.nii.gz
train_1012_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1012/train_1012a/train_1012_a_1.nii.gz
train_1013_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1013/train_1013a/train_1013_a_1.nii.gz
train_1014_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1014/train_1014a/train_1014_a_1.nii.gz
train_1015_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1015/train_1015a/train_1015_a_1.nii.gz
train_1016_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1016/train_1016a/train_1016_a_1.nii.gz
train_1017_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1017/train_1017a/train_1017_a_1.nii.gz
train_1018_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1018/train_1018a/train_1018_a_1.nii.gz
train_1019_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1019/train_1019a/train_1019_a_1.nii.gz
train_101_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_101/train_101a/train_101_a_1.nii.gz
train_101_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_101/train_101b/train_101_b_1.nii.gz
train_1020_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1020/train_1020a/train_1020_a_1.nii.gz
train_1021_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1021/train_1021a/train_1021_a_1.nii.gz
train_1022_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1022/train_1022a/train_1022_a_1.nii.gz
train_1022_a_11.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1022/train_1022a/train_1022_a_11.nii.gz
train_1023_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1023/train_1023a/train_1023_a_1.nii.gz
train_1024_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1024/train_1024a/train_1024_a_1.nii.gz
train_1025_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1025/train_1025a/train_1025_a_1.nii.gz
train_1026_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1026/train_1026a/train_1026_a_1.nii.gz
train_1027_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1027/train_1027a/train_1027_a_1.nii.gz
train_1028_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1028/train_1028a/train_1028_a_1.nii.gz
train_1029_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1029/train_1029a/train_1029_a_1.nii.gz
train_102_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_102/train_102a/train_102_a_1.nii.gz
train_102_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_102/train_102b/train_102_b_1.nii.gz
train_102_c_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_102/train_102c/train_102_c_1.nii.gz
train_1030_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1030/train_1030a/train_1030_a_1.nii.gz
train_1031_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1031/train_1031a/train_1031_a_1.nii.gz
train_1032_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1032/train_1032a/train_1032_a_1.nii.gz
train_1033_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1033/train_1033a/train_1033_a_1.nii.gz
train_1034_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1034/train_1034a/train_1034_a_1.nii.gz
train_1035_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1035/train_1035a/train_1035_a_1.nii.gz
train_1036_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1036/train_1036a/train_1036_a_1.nii.gz
train_1037_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1037/train_1037a/train_1037_a_1.nii.gz
train_1038_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1038/train_1038a/train_1038_a_1.nii.gz
train_1039_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1039/train_1039a/train_1039_a_1.nii.gz
train_103_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_103/train_103a/train_103_a_1.nii.gz
train_1040_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1040/train_1040a/train_1040_a_1.nii.gz
train_1041_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1041/train_1041a/train_1041_a_1.nii.gz
train_1041_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1041/train_1041b/train_1041_b_1.nii.gz
train_1042_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1042/train_1042a/train_1042_a_1.nii.gz
train_1043_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1043/train_1043a/train_1043_a_1.nii.gz
train_1044_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1044/train_1044a/train_1044_a_1.nii.gz
train_1045_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1045/train_1045a/train_1045_a_1.nii.gz
train_1046_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1046/train_1046a/train_1046_a_1.nii.gz
train_1046_b_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1046/train_1046b/train_1046_b_1.nii.gz
train_1047_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1047/train_1047a/train_1047_a_1.nii.gz
train_1048_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1048/train_1048a/train_1048_a_1.nii.gz
train_1049_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1049/train_1049a/train_1049_a_1.nii.gz
train_104_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_104/train_104a/train_104_a_1.nii.gz
train_1050_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1050/train_1050a/train_1050_a_1.nii.gz
train_1051_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1051/train_1051a/train_1051_a_1.nii.gz
train_1052_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1052/train_1052a/train_1052_a_1.nii.gz
train_1053_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1053/train_1053a/train_1053_a_1.nii.gz
train_1054_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1054/train_1054a/train_1054_a_1.nii.gz
train_1055_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1055/train_1055a/train_1055_a_1.nii.gz
train_1056_a_1.nii.gz,/mnt/hwfile/medai/zhangxiaoman/DATA/CT-RATE/dataset/train_preprocessed/train_1056/train_1056a/train_1056_a_1.nii.gz
